InvoiceID,Number,Date,CustomerRef,BrokerRef,Creator,PayerType,InvoicePrice,InvoiceAdditionAmount,InvoiceReductionAmount,InvoiceNetPrice,InvoiceStauts,CreationDate,SalesArea,RegionalDivision,SalesAreaNumber,RegionalDivisionNumber,InvoiceStatusNumber
96,26136,2022-01-25,20636,4,8974,1,1315000000,118350000,0,1433350000,Registred by Accounting,2022-03-06 09:24:56.257,نمایندگان,تهران,3,29,1
98,26159,2022-02-06,20636,4,8974,1,296000000,26640000,0,322640000,Registred by Accounting,2022-03-06 09:39:19.530,نمایندگان,تهران,3,29,1
99,26158,2022-02-06,20636,4,8974,1,370000000,33300000,0,403300000,Registred by Accounting,2022-03-06 09:45:49.683,نمایندگان,تهران,3,29,1
100,26180,2022-03-06,152,1,8959,1,3120000000,280800000,0,3400800000,Registred by Accounting,2022-03-06 09:46:41.537,تک فروشی,تهران,0,29,1
101,26152,2022-02-06,21700,3,8947,1,1932000000,173880000,0,2105880000,Registred by Accounting,2022-03-06 09:52:29.713,تک فروشی,تهران,0,29,1
102,26133,2022-01-24,23799,4,8974,1,175500000,15795000,0,191295000,Registred by Accounting,2022-03-06 10:02:40.453,تک فروشی,بابلسر,0,16,1
103,26137,2022-01-26,20636,4,8974,1,720000000,64800000,0,784800000,Registred by Accounting,2022-03-06 10:15:22.760,نمایندگان,تهران,3,29,1
104,26181,2022-03-06,13029,1,8959,1,415300000,37377000,0,452677000,Registred by Accounting,2022-03-06 11:56:31.777,نمایندگان,اصفهان,3,11,1
105,26182,2022-03-06,14449,1,8959,1,213000000,19170000,0,232170000,Registred by Accounting,2022-03-06 12:03:36.327,نمایندگان,کرمان,3,87,1
106,26183,2022-03-06,3,1,8959,1,31400000,2826000,0,34226000,Registred by Accounting,2022-03-06 12:07:17.387,نمایندگان,مشهد,3,77,1
107,26184,2022-03-06,20397,1,8959,1,146300000,13167000,0,159467000,Registred by Accounting,2022-03-06 12:22:47.053,نمایندگان,یاسوج,3,92,1
108,26185,2022-03-06,16627,1,8959,1,272800000,24552000,0,297352000,Registred by Accounting,2022-03-06 12:23:38.210,نمایندگان,قزوین,3,62,1
110,26135,2022-01-25,20636,4,8974,1,216000000,19440000,0,235440000,Registred by Accounting,2022-03-06 16:27:21.873,نمایندگان,تهران,3,29,1
111,26186,2022-03-07,20397,1,8959,1,604800000,54432000,0,659232000,Registred by Accounting,2022-03-07 09:41:18.473,نمایندگان,یاسوج,3,92,1
113,26187,2022-03-07,15694,1,8959,1,708400000,63756000,0,772156000,Registred by Accounting,2022-03-07 10:56:38.073,نمایندگان,علی آباد کتول,3,59,1
114,26188,2022-03-07,15694,1,8959,1,256000000,23040000,0,279040000,Registred by Accounting,2022-03-07 10:57:29.407,نمایندگان,علی آباد کتول,3,59,1
117,26189,2022-03-07,15694,1,8959,1,103000000,9270000,0,112270000,Registred by Accounting,2022-03-07 11:10:09.597,نمایندگان,علی آباد کتول,3,59,1
122,26157,2022-02-06,4,2,8952,1,124000000,11160000,0,135160000,Registred by Accounting,2022-03-08 16:20:17.700,تک فروشی,تهران,0,29,1
141,26134,2022-01-25,14529,2,8952,1,408000000,36720000,0,444720000,Registred by Accounting,2022-03-09 14:13:51.893,تک فروشی,تهران,0,29,1
143,26161,2022-02-07,21216,2,8952,1,6490000000,584100000,0,7074100000,Registred by Accounting,2022-03-09 14:19:28.660,تک فروشی,تهران,0,29,1
146,26191,2022-03-09,13029,1,8959,1,640000000,57600000,0,697600000,Registred by Accounting,2022-03-09 16:22:28.417,نمایندگان,اصفهان,3,11,1
147,26192,2022-03-10,23386,2,8952,1,3735000000,336150000,0,4071150000,Registred by Accounting,2022-03-10 11:43:32.627,تک فروشی,تهران,0,29,1
148,26193,2022-03-12,16221,2,8952,1,450000000,40500000,0,490500000,Registred by Accounting,2022-03-12 09:34:33.977,تک فروشی,تهران,0,29,1
149,26151,2022-02-06,3,1,8959,1,271000000,24390000,0,295390000,Registred by Accounting,2022-03-12 09:44:22.603,نمایندگان,مشهد,3,77,1
163,26162,2022-02-09,23737,1,8959,1,6579900000,592191000,0,7172091000,Registred by Accounting,2022-03-12 13:13:58.417,تک فروشی,تهران,0,29,1
164,26148,2022-02-06,16125,1,8959,1,109200000,9828000,0,119028000,Registred by Accounting,2022-03-12 13:16:34.627,نمایندگان,سنندج,3,47,1
166,26150,2022-02-06,13211,1,8959,1,396500000,35685000,0,432185000,Registred by Accounting,2022-03-12 13:20:46.623,نمایندگان,اراک,3,2,1
168,26164,2022-02-13,19340,1,8959,1,196600000,17694000,0,214294000,Registred by Accounting,2022-03-12 13:25:45.993,نمایندگان,کرج,3,85,1
169,26139,2022-02-06,19340,1,8959,1,119500000,10755000,0,130255000,Registred by Accounting,2022-03-12 13:26:54.740,نمایندگان,کرج,3,85,1
170,26130,2022-01-24,15437,1,8959,1,175000000,15750000,0,190750000,Registred by Accounting,2022-03-12 13:28:12.973,نمایندگان,یزد,3,93,1
171,26194,2022-03-12,225,2,8952,1,172500000,15525000,0,188025000,Registred by Accounting,2022-03-12 14:23:57.910,تک فروشی,تهران,0,29,1
172,26149,2022-02-06,15694,1,8959,1,1995000000,179550000,0,2174550000,Registred by Accounting,2022-03-12 15:13:41.170,نمایندگان,علی آباد کتول,3,59,1
174,26195,2022-03-13,18806,3,8947,1,232500000,20925000,0,253425000,Registred by Accounting,2022-03-13 08:09:12.553,تک فروشی,تهران,0,29,1
180,26140,2022-02-06,18866,1,8959,1,440000000,39600000,0,479600000,Registred by Accounting,2022-03-14 10:49:57.260,تک فروشی,تهران,0,29,1
181,26141,2022-02-06,18866,1,8959,1,440000000,39600000,0,479600000,Registred by Accounting,2022-03-14 10:53:16.957,تک فروشی,تهران,0,29,1
182,26142,2022-02-06,18866,1,8959,1,330000000,29700000,0,359700000,Registred by Accounting,2022-03-14 10:54:16.223,تک فروشی,تهران,0,29,1
183,26143,2022-02-06,15694,1,8959,1,840000000,75600000,0,915600000,Registred by Accounting,2022-03-14 10:55:38.153,نمایندگان,علی آباد کتول,3,59,1
184,26131,2022-01-24,19340,1,8959,1,16500000,1485000,0,17985000,Registred by Accounting,2022-03-14 10:56:40.353,نمایندگان,کرج,3,85,1
185,26196,2022-03-14,20636,4,8974,1,210000000,18900000,0,228900000,Registred by Accounting,2022-03-14 15:24:44.193,نمایندگان,تهران,3,29,1
186,26197,2022-03-14,125,4,8974,1,702000000,63180000,0,765180000,Registred by Accounting,2022-03-14 15:42:37.783,تک فروشی,تهران,0,29,1
189,26198,2022-03-14,16627,1,8959,1,30000000,2700000,0,32700000,Registred by Accounting,2022-03-14 15:49:49.313,نمایندگان,قزوین,3,62,1
190,26199,2022-03-14,3,1,8959,1,769900000,69291000,0,839191000,Registred by Accounting,2022-03-14 15:51:05.163,نمایندگان,مشهد,3,77,1
191,26200,2022-03-14,14449,1,8959,1,1040000000,93600000,0,1133600000,Registred by Accounting,2022-03-14 15:51:45.620,نمایندگان,کرمان,3,87,1
192,26201,2022-03-14,16978,1,8959,1,206000000,18540000,0,224540000,Registred by Accounting,2022-03-14 15:52:24.570,نمایندگان,اصفهان,3,11,1
193,26202,2022-03-14,21854,1,8959,1,1046400000,94176000,0,1140576000,Registred by Accounting,2022-03-14 15:53:05.690,نمایندگان,شهر کرد,3,51,1
194,26203,2022-03-14,19459,1,8959,1,530900000,47781000,0,578681000,Registred by Accounting,2022-03-14 15:53:50.653,تک فروشی,ارومیه,0,4,1
195,26204,2022-03-14,16856,1,8959,1,3488000000,313920000,0,3801920000,Registred by Accounting,2022-03-14 15:54:31.217,نمایندگان,شیراز,3,56,1
196,26205,2022-03-14,223,1,8959,1,50000000,4500000,0,54500000,Registred by Accounting,2022-03-14 16:07:14.037,تک فروشی,کرج,0,85,1
197,26206,2022-03-14,14449,1,8959,1,396200000,35658000,0,431858000,Registred by Accounting,2022-03-14 16:09:32.070,نمایندگان,کرمان,3,87,1
198,26207,2022-03-15,15205,1,8959,1,103000000,9270000,0,112270000,Registred by Accounting,2022-03-15 08:50:40.870,نمایندگان,بیرجند,3,26,1
199,26208,2022-03-15,13766,2,8952,1,19152000000,1723680000,0,20875680000,Registred by Accounting,2022-03-15 09:00:15.670,تک فروشی,تهران,0,29,1
201,26209,2022-03-15,14529,2,8952,1,2304000000,207360000,0,2511360000,Registred by Accounting,2022-03-15 09:59:42.637,تک فروشی,تهران,0,29,1
202,26210,2022-03-15,20234,2,8952,1,562000000,50580000,0,612580000,Registred by Accounting,2022-03-15 10:00:57.200,تک فروشی,تهران,0,29,1
211,26211,2022-03-15,13135,3,8947,1,3820000000,343800000,0,4163800000,Registred by Accounting,2022-03-15 11:24:51.723,تک فروشی,یزد,0,93,1
212,26212,2022-03-15,14277,1,8959,1,37000000,3330000,0,40330000,Registred by Accounting,2022-03-15 11:25:09.267,نمایندگان,سمنان,3,46,1
213,26213,2022-03-15,15437,1,8959,1,48600000,4374000,0,52974000,Registred by Accounting,2022-03-15 11:27:14.707,نمایندگان,یزد,3,93,1
214,26214,2022-03-15,16627,1,8959,1,2567800000,231102000,0,2798902000,Registred by Accounting,2022-03-15 11:55:21.670,نمایندگان,قزوین,3,62,1
216,26215,2022-03-15,14449,1,8959,1,3957400000,356166000,0,4313566000,Registred by Accounting,2022-03-15 12:00:14.717,نمایندگان,کرمان,3,87,1
217,26129,2022-01-24,14449,1,8959,1,108600000,9774000,0,118374000,Registred by Accounting,2022-03-15 12:31:32.137,نمایندگان,کرمان,3,87,1
218,26132,2022-02-23,13029,1,8959,1,415300000,37377000,0,452677000,Registred by Accounting,2022-03-15 12:32:50.623,نمایندگان,اصفهان,3,11,1
219,26145,2022-02-06,20569,1,8959,1,250000000,22500000,0,272500000,Registred by Accounting,2022-03-15 12:34:15.423,تک فروشی,تهران,0,29,1
220,26146,2022-02-06,16627,1,8959,1,103000000,9270000,0,112270000,Registred by Accounting,2022-03-15 12:35:32.127,نمایندگان,قزوین,3,62,1
221,26147,2022-02-06,15694,1,8959,1,1280000000,115200000,0,1395200000,Registred by Accounting,2022-03-15 12:36:51.393,نمایندگان,علی آباد کتول,3,59,1
222,26144,2022-02-06,13081,1,8959,1,840000000,75600000,0,915600000,Registred by Accounting,2022-03-15 12:38:09.243,نمایندگان,رشت,3,39,1
223,26163,2022-02-13,3,1,8959,1,3989500000,359055000,0,4348555000,Registred by Accounting,2022-03-15 12:39:14.610,نمایندگان,مشهد,3,77,1
224,26216,2022-03-15,15694,1,8959,1,415000000,37350000,0,452350000,Registred by Accounting,2022-03-15 13:00:37.507,نمایندگان,علی آباد کتول,3,59,1
225,26217,2022-03-15,232,1,8959,1,2625000000,236250000,0,2861250000,Registred by Accounting,2022-03-15 13:05:24.187,تک فروشی,شهر کرد,0,51,1
226,26166,2022-02-21,18928,3,8947,1,326349222904,29371430063,0,355720652967,Registred by Accounting,2022-03-15 13:35:56.993,مناقصه ای,تهران,2,29,1
227,26218,2022-03-15,23588,2,8952,1,2022000000,181980000,0,2203980000,Registred by Accounting,2022-03-15 14:05:51.300,تک فروشی,تهران,0,29,1
228,26219,2022-03-16,21900,2,8952,1,9500000,855000,0,10355000,Registred by Accounting,2022-03-16 08:42:57.420,تک فروشی,تهران,0,29,1
229,26220,2022-03-16,14182,2,8952,1,58500000,5265000,0,63765000,Registred by Accounting,2022-03-16 08:46:07.370,تک فروشی,تهران,0,29,1
230,26221,2022-03-16,23588,2,8952,1,527000000,47430000,0,574430000,Registred by Accounting,2022-03-16 08:59:35.607,تک فروشی,تهران,0,29,1
233,26165,2022-02-21,21301,2,8952,1,282000000,25380000,0,307380000,Registred by Accounting,2022-03-16 14:24:28.057,تک فروشی,تهران,0,29,1
235,26156,2022-02-06,6,2,8952,1,115500000,10395000,0,125895000,Registred by Accounting,2022-03-16 14:40:34.533,تک فروشی,تهران,0,29,1
286,26223,2022-04-10,20636,4,8974,1,420000000,37800000,0,457800000,Registred by Accounting,2022-04-10 08:28:31.687,نمایندگان,تهران,3,29,1
287,26224,2022-04-10,18996,1,8959,1,335000000,30150000,0,365150000,Registred by Accounting,2022-04-10 08:59:25.050,تک فروشی,تهران,0,29,1
289,26225,2022-04-10,13120,3,1909,1,7628750000,686587500,0,8315337500,Registred by Accounting,2022-04-10 09:17:20.623,مناقصه ای,اصفهان,2,11,1
291,26226,2022-04-10,21216,2,8952,1,2528000000,227520000,0,2755520000,Registred by Accounting,2022-04-10 10:00:11.363,تک فروشی,تهران,0,29,1
292,26227,2022-04-11,21216,2,8952,1,4950000000,445500000,0,5395500000,Registred by Accounting,2022-04-11 07:50:46.303,تک فروشی,تهران,0,29,1
293,26228,2022-04-11,21216,2,8952,1,3300000000,297000000,0,3597000000,Registred by Accounting,2022-04-11 08:02:25.030,تک فروشی,تهران,0,29,1
297,26230,2022-04-12,20636,2,8952,1,387200000,34848000,0,422048000,Registred by Accounting,2022-04-12 15:26:42.800,نمایندگان,تهران,3,29,1
300,26231,2022-04-13,20636,2,8952,1,4074475000,366702750,0,4441177750,Registred by Accounting,2022-04-13 13:13:53.137,نمایندگان,تهران,3,29,1
303,26232,2022-04-14,20770,2,8952,1,90000000,8100000,0,98100000,Registred by Accounting,2022-04-14 11:48:05.853,تک فروشی,تهران,0,29,1
304,26233,2022-04-14,20770,2,8952,1,19000000,1710000,0,20710000,Registred by Accounting,2022-04-14 11:51:21.043,تک فروشی,تهران,0,29,1
306,26234,2022-04-16,14449,1,8959,1,116200000,10458000,0,126658000,Registred by Accounting,2022-04-16 09:01:12.267,نمایندگان,کرمان,3,87,1
307,26235,2022-04-16,19340,1,8959,1,103000000,9270000,0,112270000,Registred by Accounting,2022-04-16 09:02:33.680,نمایندگان,کرج,3,85,1
309,26236,2022-04-17,13081,1,8959,1,156000000,14040000,0,170040000,Registred by Accounting,2022-04-17 09:09:05.100,نمایندگان,رشت,3,39,1
310,26237,2022-04-17,19340,1,8959,1,16500000,1485000,0,17985000,Registred by Accounting,2022-04-17 09:18:12.000,نمایندگان,کرج,3,85,1
312,26238,2022-04-18,18928,3,1909,1,1445000000,130050000,0,1575050000,Registred by Accounting,2022-04-18 09:13:50.467,تک فروشی,تهران,0,29,1
313,26239,2022-04-18,18928,3,1909,1,16186805580,1456812502,0,17643618082,Registred by Accounting,2022-04-18 09:23:18.793,تک فروشی,تهران,0,29,1
320,26240,2022-04-18,18928,3,1909,1,15998073960,1439826656,0,17437900616,Registred by Accounting,2022-04-18 10:02:22.690,تک فروشی,تهران,0,29,1
325,26241,2022-04-18,18928,3,1909,1,124194060000,11177465400,0,135371525400,Registred by Accounting,2022-04-18 10:13:00.023,تک فروشی,تهران,0,29,1
340,26242,2022-04-18,19459,1,8959,1,116000000,10440000,0,126440000,Registred by Accounting,2022-04-19 09:10:21.283,تک فروشی,ارومیه,0,4,1
341,26243,2022-04-19,16856,1,8959,1,1976600000,177894000,0,2154494000,Registred by Accounting,2022-04-19 09:49:37.977,نمایندگان,شیراز,3,56,1
342,26244,2022-04-19,13120,3,1909,1,11936250000,1074262500,0,13010512500,Registred by Accounting,2022-04-19 11:33:43.077,مناقصه ای,اصفهان,2,11,1
344,26245,2022-04-19,312,1,8959,1,303000000,27270000,0,330270000,Registred by Accounting,2022-04-19 12:30:50.190,تک فروشی,بابل,0,15,1
345,26246,2022-04-20,16856,1,8959,1,1854000000,166860000,0,2020860000,Registred by Accounting,2022-04-20 12:55:20.937,نمایندگان,شیراز,3,56,1
350,26248,2022-04-21,13029,1,8959,1,156000000,14040000,0,170040000,Registred by Accounting,2022-04-21 10:23:39.017,نمایندگان,اصفهان,3,11,1
351,26249,2022-04-21,20397,1,8959,1,268400000,24156000,0,292556000,Registred by Accounting,2022-04-21 10:24:56.677,نمایندگان,یاسوج,3,92,1
352,26250,2022-04-21,15205,1,8959,1,37000000,3330000,0,40330000,Registred by Accounting,2022-04-21 10:26:54.120,نمایندگان,بیرجند,3,26,1
353,26251,2022-04-21,19340,1,8959,1,46800000,4212000,0,51012000,Registred by Accounting,2022-04-21 10:29:05.763,نمایندگان,کرج,3,85,1
354,26252,2022-04-21,13211,1,8959,1,103000000,9270000,0,112270000,Registred by Accounting,2022-04-21 10:34:15.333,نمایندگان,اراک,3,2,1
372,26247,2022-04-20,20641,2,8952,1,42000000,3780000,0,45780000,Registred by Accounting,2022-04-24 10:53:16.737,تک فروشی,تهران,0,29,1
373,26253,2022-04-24,23716,4,8974,1,877500000,78975000,0,956475000,Registred by Accounting,2022-04-24 11:17:38.723,تک فروشی,تهران,0,29,1
375,26254,2022-04-24,15437,1,8959,1,556800000,50112000,0,606912000,Registred by Accounting,2022-04-24 14:04:41.990,نمایندگان,یزد,3,93,1
376,26255,2022-04-24,15437,1,8959,1,1396000000,125640000,0,1521640000,Registred by Accounting,2022-04-24 14:06:02.430,نمایندگان,یزد,3,93,1
377,26256,2022-04-24,14277,1,8959,1,584800000,52632000,0,637432000,Registred by Accounting,2022-04-24 14:07:35.497,نمایندگان,سمنان,3,46,1
378,26257,2022-04-24,15694,1,8959,1,311000000,27990000,0,338990000,Registred by Accounting,2022-04-24 14:08:39.733,نمایندگان,علی آباد کتول,3,59,1
419,26258,2022-04-25,18928,3,1909,1,66514931280,5986343815,0,72501275095,Registred by Accounting,2022-04-25 13:15:57.817,تک فروشی,تهران,0,29,1
420,26259,2022-04-26,317,3,1909,1,3480000000,313200000,0,3793200000,Registred by Accounting,2022-04-26 09:37:47.477,تک فروشی,تهران,0,29,1
429,26229,2022-04-11,22140,2,8952,1,60000000,5400000,0,65400000,Registred by Accounting,2022-04-26 14:07:36.287,تک فروشی,تهران,0,29,1
430,26260,2022-04-26,13766,2,8952,1,65000000,5850000,0,70850000,Registred by Accounting,2022-04-26 15:03:40.527,تک فروشی,تهران,0,29,1
431,26261,2022-04-27,21216,2,8952,1,4400000000,396000000,0,4796000000,Registred by Accounting,2022-04-27 07:57:02.683,تک فروشی,تهران,0,29,1
432,26262,2022-04-27,13211,1,8959,1,37000000,3330000,0,40330000,Registred by Accounting,2022-04-27 09:36:31.807,نمایندگان,اراک,3,2,1
433,26263,2022-04-27,314,1,8959,1,2053000000,184770000,0,2237770000,Registred by Accounting,2022-04-27 10:01:46.750,تک فروشی,تبریز,0,27,1
434,26264,2022-04-27,329,1,8959,1,700000000,63000000,0,763000000,Registred by Accounting,2022-04-27 10:04:02.737,تک فروشی,ارومیه,0,4,1
435,26265,2022-04-27,15694,1,8959,1,128000000,11520000,0,139520000,Registred by Accounting,2022-04-27 10:05:02.967,نمایندگان,علی آباد کتول,3,59,1
436,26266,2022-04-27,15694,1,8959,1,103000000,9270000,0,112270000,Registred by Accounting,2022-04-27 10:05:51.013,نمایندگان,علی آباد کتول,3,59,1
437,26267,2022-04-27,15724,1,8959,1,570000000,51300000,0,621300000,Registred by Accounting,2022-04-27 10:06:56.000,تک فروشی,ایلام,0,14,1
438,26268,2022-04-27,22530,2,8952,1,231000000,20790000,0,251790000,Registred by Accounting,2022-04-27 10:58:41.980,تک فروشی,تهران,0,29,1
440,26269,2022-04-27,15724,1,8959,1,570000000,51300000,0,621300000,Registred by Accounting,2022-04-27 11:55:04.570,تک فروشی,ایلام,0,14,1
442,26270,2022-04-27,15724,1,8959,1,684000000,61560000,0,745560000,Registred by Accounting,2022-04-27 11:55:54.347,تک فروشی,ایلام,0,14,1
443,26271,2022-04-30,15694,1,8959,1,103000000,9270000,0,112270000,Registred by Accounting,2022-04-30 10:28:59.533,نمایندگان,علی آباد کتول,3,59,1
444,26272,2022-04-30,15694,1,8959,1,103000000,9270000,0,112270000,Registred by Accounting,2022-04-30 10:31:57.080,نمایندگان,علی آباد کتول,3,59,1
445,26273,2022-05-05,3,1,8959,1,299800000,26982000,0,326782000,Registred by Accounting,2022-05-05 09:00:57.560,نمایندگان,مشهد,3,77,1
446,26274,2022-05-05,14449,1,8959,1,88400000,7956000,0,96356000,Registred by Accounting,2022-05-05 09:02:03.240,نمایندگان,کرمان,3,87,1
447,26275,2022-05-05,15694,1,8959,1,312000000,28080000,0,340080000,Registred by Accounting,2022-05-05 09:03:16.817,نمایندگان,علی آباد کتول,3,59,1
448,26276,2022-05-08,19340,1,8959,1,16600000,1494000,0,18094000,Registred by Accounting,2022-05-08 11:00:53.817,نمایندگان,کرج,3,85,1
449,26277,2022-05-08,325,5,8955,1,49200000,4428000,0,53628000,Registred by Accounting,2022-05-08 14:43:30.107,تک فروشی,تهران,0,29,1
450,26278,2022-05-09,22870,1,8959,1,208000000,18720000,0,226720000,Registred by Accounting,2022-05-09 11:14:45.797,تک فروشی,ارومیه,0,4,1
451,26279,2022-05-11,14277,1,8959,1,980800000,88272000,0,1069072000,Registred by Accounting,2022-05-11 12:19:58.480,نمایندگان,سمنان,3,46,1
452,26280,2022-05-11,15694,1,8959,1,640000000,57600000,0,697600000,Registred by Accounting,2022-05-11 12:56:18.747,نمایندگان,علی آباد کتول,3,59,1
454,26281,2022-05-14,18928,3,1909,1,20500718380,1845064654,0,22345783034,Registred by Accounting,2022-05-14 09:20:08.997,مناقصه ای,تهران,2,29,1
455,26282,2022-05-14,18928,3,1909,1,9920000000,892800000,0,10812800000,Registred by Accounting,2022-05-14 09:43:31.953,تک فروشی,تهران,0,29,1
461,26283,2022-05-15,22870,1,8959,1,624000000,56160000,0,680160000,Registred by Accounting,2022-05-15 12:20:34.457,تک فروشی,ارومیه,0,4,1
462,26284,2022-05-16,13766,2,8952,1,1280000000,115200000,0,1395200000,Registred by Accounting,2022-05-16 09:56:51.243,تک فروشی,تهران,0,29,1
463,26285,2022-05-16,16856,1,8959,1,344800000,31032000,0,375832000,Registred by Accounting,2022-05-16 11:28:39.413,نمایندگان,شیراز,3,56,1
467,26286,2022-05-17,21739,3,1909,1,408000000,36720000,0,444720000,Registred by Accounting,2022-05-17 12:36:36.377,تک فروشی,تهران,0,29,1
468,26287,2022-05-17,309,1,8959,1,1808201000,162738090,0,1970939090,Registred by Accounting,2022-05-17 13:17:01.600,تک فروشی,سنندج,0,47,1
469,26288,2022-05-17,15694,1,8959,1,1024000000,92160000,0,1116160000,Registred by Accounting,2022-05-17 13:18:23.720,نمایندگان,علی آباد کتول,3,59,1
470,26289,2022-05-17,3,1,8959,1,70300000,6327000,0,76627000,Registred by Accounting,2022-05-17 13:19:41.793,نمایندگان,مشهد,3,77,1
471,26290,2022-05-17,22150,1,8959,1,250100000,22509000,0,272609000,Registred by Accounting,2022-05-17 13:21:55.230,تک فروشی,بجنورد,0,17,1
473,26291,2022-05-18,18866,1,8959,1,81000000,7290000,0,88290000,Registred by Accounting,2022-05-18 08:22:30.613,تک فروشی,تهران,0,29,1
476,26292,2022-05-18,21721,1,8959,1,1378500000,124065000,0,1502565000,Registred by Accounting,2022-05-18 15:49:14.627,تک فروشی,مرند,0,70,1
477,26293,2022-05-18,15694,1,8959,1,840000000,75600000,0,915600000,Registred by Accounting,2022-05-18 15:52:40.360,نمایندگان,علی آباد کتول,3,59,1
478,26294,2022-05-21,13004,3,1909,1,217668000000,19590120000,0,237258120000,Registred by Accounting,2022-05-21 11:30:59.780,مناقصه ای,تهران,2,29,1
479,26295,2022-05-21,16856,1,8959,1,504000000,45360000,0,549360000,Registred by Accounting,2022-05-21 12:03:33.177,نمایندگان,شیراز,3,56,1
480,26296,2022-05-21,21216,2,8952,1,250750000,22567500,0,273317500,Registred by Accounting,2022-05-21 13:32:58.983,تک فروشی,تهران,0,29,1
481,26297,2022-05-21,13004,3,1909,1,150000000,13500000,0,163500000,Registred by Accounting,2022-05-21 15:04:05.667,مناقصه ای,تهران,2,29,1
482,26298,2022-05-22,20636,4,8974,1,116000000,10440000,0,126440000,Registred by Accounting,2022-05-22 10:23:18.807,نمایندگان,تهران,3,29,1
483,26299,2022-05-22,21739,3,1909,1,70000000,6300000,0,76300000,Registred by Accounting,2022-05-22 11:50:58.380,تک فروشی,تهران,0,29,1
487,26300,2022-05-24,16978,1,8959,1,2370000000,213300000,0,2583300000,Registred by Accounting,2022-05-24 13:02:38.623,نمایندگان,اصفهان,3,11,1
488,26301,2022-05-24,15437,1,8959,1,165000000,14850000,0,179850000,Registred by Accounting,2022-05-24 13:04:04.377,نمایندگان,یزد,3,93,1
489,26302,2022-05-24,15694,1,8959,1,208000000,18720000,0,226720000,Registred by Accounting,2022-05-24 13:05:31.977,نمایندگان,علی آباد کتول,3,59,1
492,26303,2022-05-24,23645,1,8959,1,681700000,61353000,0,743053000,Registred by Accounting,2022-05-24 14:30:05.997,تک فروشی,بندرعباس,0,22,1
494,26304,2022-05-24,3,1,8959,1,40000000,3600000,0,43600000,Registred by Accounting,2022-05-24 14:34:19.770,نمایندگان,مشهد,3,77,1
